"","track_title","line","lyric"
"1","Army of One",1,"Been around the world, the wonders to view"
"2","Army of One",2,"Been around the world, looking for someone like you"
"3","Army of One",3,"Pyramids try, Babylon too"
"4","Army of One",4,"But the beautifullest treasures lie in the deepest blue"
"5","Army of One",5,"So I never say die, aim never untrue"
"6","Army of One",6,"I'm never so high as when I'm with you"
"7","Army of One",7,"And there isn't a fire that I wouldn't walk through"
"8","Army of One",8,"My army of one is gonna fight for you"
"9","Army of One",9,"Been around the world, universe too"
"10","Army of One",10,"I've been around flying, baby, there's nothing I wouldn't do"
"11","Army of One",11,"Tanzaku stars, lasso the moon"
"12","Army of One",12,"And be standing there beside you"
"13","Army of One",13,"Right when the storm comes through"
"14","Army of One",14,"Cause I never say die, aim never untrue"
"15","Army of One",15,"Never so high as when I'm with you"
"16","Army of One",16,"And there isn't a fire that I wouldn't walk through"
"17","Army of One",17,"My army of one is gonna fight for you"
"18","Army of One",18,"My army of one is gonna fall for you, yeah"
"19","Army of One",19,"Cause you reign"
"20","Army of One",20,"All cause you reign"
"21","Army of One",21,"All cause you reign"
"22","Army of One",22,"My army of one is gonna call it through"
"23","Army of One",23,"Saying my heart is my gun, army of one"
"24","Army of One",24,"Yeah my heart is my gun, army of one"
"25","Army of One",25,"It's my only weapon, army of one"
"26","Army of One",26,"Saying my heart is my gun, army of one"
"27","Adventure of a Lifetime",1,NA
"28","Adventure of a Lifetime",2,NA
"29","Adventure of a Lifetime",3,"Turn your magic on"
"30","Adventure of a Lifetime",4,"Umi she'd say"
"31","Adventure of a Lifetime",5,"Everything you want's a dream away"
"32","Adventure of a Lifetime",6,"And we are legends, every day"
"33","Adventure of a Lifetime",7,"That's what she told me"
"34","Adventure of a Lifetime",8,"Turn your magic on, to me she'd say"
"35","Adventure of a Lifetime",9,"Everything you want's a dream away"
"36","Adventure of a Lifetime",10,"Under this pressure, under this weight"
"37","Adventure of a Lifetime",11,"We are diamonds"
"38","Adventure of a Lifetime",12,"Now I feel my heart beating"
"39","Adventure of a Lifetime",13,"I feel my heart underneath my skin"
"40","Adventure of a Lifetime",14,"And I feel my heart beating"
"41","Adventure of a Lifetime",15,"Oh, you make me feel"
"42","Adventure of a Lifetime",16,"Like I'm alive again"
"43","Adventure of a Lifetime",17,"Alive again"
"44","Adventure of a Lifetime",18,"Oh, you make me feel"
"45","Adventure of a Lifetime",19,"Like I'm alive again"
"46","Adventure of a Lifetime",20,"Said I can't go on, not in this way"
"47","Adventure of a Lifetime",21,"I'm a dream that died by light of day"
"48","Adventure of a Lifetime",22,"Gonna hold up half the sky and say"
"49","Adventure of a Lifetime",23,"Only I own me"
"50","Adventure of a Lifetime",24,"Now I feel my heart beating"
"51","Adventure of a Lifetime",25,"I feel my heart underneath my skin"
"52","Adventure of a Lifetime",26,"Oh, I can feel my heart beating"
"53","Adventure of a Lifetime",27,"'Cause you make me feel"
"54","Adventure of a Lifetime",28,"Like I'm alive again"
"55","Adventure of a Lifetime",29,"Alive again"
"56","Adventure of a Lifetime",30,"Oh, you make me feel"
"57","Adventure of a Lifetime",31,"Like I'm alive again"
"58","Adventure of a Lifetime",32,"Turn your magic on, Umi she'd say"
