"","track_title","line","lyric"
"1","Hurts Like Heaven",1,NA
"2","Hurts Like Heaven",2,"Written in graffiti on a bridge in a park""Do you ever get the feeling that you're missing the mark?""It's so cold, it's so cold"
"3","Hurts Like Heaven",3,"It's so cold, it's so cold"
"4","Hurts Like Heaven",4,"Written up in marker on a factory sign"
"5","Hurts Like Heaven",5,"""I struggle with the feeling that my life isn't mine""It's so cold, it's so cold"
"6","Hurts Like Heaven",6,"It's so cold, it's so cold"
"7","Hurts Like Heaven",7,"See the arrow they shot trying to tear us apart"
"8","Hurts Like Heaven",8,"Take the fire from my belly and the beat from my heart"
"9","Hurts Like Heaven",9,"Still, I won't let go"
"10","Hurts Like Heaven",10,"Still, I won't let go"
"11","Hurts Like Heaven",11,"Of you"
"12","Hurts Like Heaven",12,"'Cause you do"
"13","Hurts Like Heaven",13,"Oh, you use your heart as a weapon"
"14","Hurts Like Heaven",14,"And it hurts like heaven"
"15","Hurts Like Heaven",15,"On every street, every car, every surface, a name"
"16","Hurts Like Heaven",16,"Tonight, the streets are ours"
"17","Hurts Like Heaven",17,"And we're writing and saying"
"18","Hurts Like Heaven",18,"Don't let 'em take control"
"19","Hurts Like Heaven",19,"No, we won't let 'em take control"
"20","Hurts Like Heaven",20,"Yes, I feel a little bit nervous"
"21","Hurts Like Heaven",21,"Yes, I feel nervous and I cannot relax"
"22","Hurts Like Heaven",22,"How come they're out to get us?"
"23","Hurts Like Heaven",23,"How come they're out when they don't know the facts?"
"24","Hurts Like Heaven",24,"So on a concrete canvas under cover of dark"
"25","Hurts Like Heaven",25,"On a concrete canvas, I'll go making my mark"
"26","Hurts Like Heaven",26,"Armed with a spraycan soul"
"27","Hurts Like Heaven",27,"I'll be armed with a spraycan soul"
"28","Hurts Like Heaven",28,"And you"
"29","Hurts Like Heaven",29,"Oh, you"
"30","Hurts Like Heaven",30,"'Cause you use your heart as a weapon"
"31","Hurts Like Heaven",31,"And it hurts like heaven"
"32","Hurts Like Heaven",32,NA
"33","Hurts Like Heaven",33,"Yeah, it's true"
"34","Hurts Like Heaven",34,"When you"
"35","Hurts Like Heaven",35,"Use your heart as a weapon"
"36","Hurts Like Heaven",36,"Then it hurts like heaven"
"37","Hurts Like Heaven",37,"Oh, it hurts like heaven"
"38","Mylo Xyloto",1,NA
"39","Paradise",1,"Oo-oo-oo, oo-oo-oo, oo-oo-oo"
"40","Paradise",2,"Oo-oo-oo, oo-oo-oo, oo-oo-oo"
"41","Paradise",3,"When she was just a girl"
"42","Paradise",4,"She expected the world"
"43","Paradise",5,"But it flew away from her reach"
"44","Paradise",6,"So she ran away in her sleep"
"45","Paradise",7,"And dreamed of para-para-paradise"
"46","Paradise",8,"Para-para-paradise"
"47","Paradise",9,"Para-para-paradise"
"48","Paradise",10,"Every time she closed her eyes"
"49","Paradise",11,"Oo-oo-oo, oo-oo-oo, oo-oo-oo"
"50","Paradise",12,"Oo-oo-oo, oo-oo-oo, oo-oo-oo"
"51","Paradise",13,"When she was just a girl"
"52","Paradise",14,"She expected the world"
"53","Paradise",15,"But it flew away from her reach"
"54","Paradise",16,"And the bullets catch in her teeth"
"55","Paradise",17,"Life goes on, it gets so heavy"
"56","Paradise",18,"The wheel breaks the butterfly"
"57","Paradise",19,"Every tear, a waterfall"
"58","Paradise",20,"In the night, the stormy night, she'll close her eyes"
"59","Paradise",21,"In the night, the stormy night, away she'd fly"
"60","Paradise",22,"And dream of para-para-paradise"
"61","Paradise",23,"Para-para-paradise"
"62","Paradise",24,"Para-para-paradise"
"63","Paradise",25,"Oh-oh-oh-oh-oh-oh-oh-oh"
"64","Paradise",26,"She'd dream of para-para-paradise"
"65","Paradise",27,"Para-para-paradise"
"66","Paradise",28,"Para-para-paradise"
"67","Paradise",29,"Oh-oh-oh-oh-oh-oh-oh-oh"
"68","Paradise",30,"La-la"
"69","Paradise",31,"La-la-la-la-la"
"70","Paradise",32,"La-la-la-la-la"
"71","Paradise",33,"La-la-la-la"
"72","Paradise",34,"So lying underneath those stormy skies"
"73","Paradise",35,"She'd say, ""Oh, oh-oh-oh-oh"
"74","Paradise",36,"I know the sun must set to rise"""
"75","Paradise",37,"This could be para-para-paradise"
"76","Paradise",38,"Para-para-paradise"
"77","Paradise",39,"This could be para-para-paradise"
"78","Paradise",40,"Oh-oh-oh-oh-oh oh-oh-oh"
"79","Paradise",41,"This could be para-para-paradise"
"80","Paradise",42,"Para-para-paradise"
"81","Paradise",43,"This could be para-para-paradise"
"82","Paradise",44,"Oh-oh-oh-oh-oh oh-oh-oh"
"83","Paradise",45,NA
"84","Paradise",46,"This could be para-para-paradise"
"85","Paradise",47,"Para-para-paradise"
"86","Paradise",48,"This could be para-para-paradise"
"87","Paradise",49,"Oh-oh-oh-oh-oh oh-oh-oh"
"88","Paradise",50,"Oo-oo-oo, oo-oo-oo, oo-oo-oo"
"89","Paradise",51,"Oo-oo-oo, oo-oo-oo, oo-oo-oo"
"90","Paradise",52,"Oo-oo-oo, oo-oo-oo, oo-oo-oo"
"91","Paradise",53,"Oo-oo-oo, oo-oo-oo"
"92","Charlie Brown",1,"Oooo, wooo"
"93","Charlie Brown",2,"Stole a key"
"94","Charlie Brown",3,"Took a car downtown where the lost boys meet"
"95","Charlie Brown",4,"Took a car downtown and took what they offered me"
"96","Charlie Brown",5,"To set me free"
"97","Charlie Brown",6,"I saw the lights go down at the end of the scene"
"98","Charlie Brown",7,"Saw the lights go down and standing in front of me"
"99","Charlie Brown",8,"Oooo-ooo-ooo"
"100","Charlie Brown",9,"In my scarecrow dreams"
"101","Charlie Brown",10,"When they smash my heart into smithereens"
"102","Charlie Brown",11,"Be a bright red rose come bursting through concrete"
"103","Charlie Brown",12,"Be a cartoon heart"
"104","Charlie Brown",13,"Light a fire, a fire, a spark"
"105","Charlie Brown",14,"Light a fire, a flame in my heart"
"106","Charlie Brown",15,"We'll run wild"
"107","Charlie Brown",16,"We'll be glowing in the dark"
"108","Charlie Brown",17,"Oooo-ooo-ooo"
"109","Charlie Brown",18,"We'll be glowing in the dark"
"110","Charlie Brown",19,"A-woo,-a-wooooo"
"111","Charlie Brown",20,"All the boys, all the girls"
"112","Charlie Brown",21,"All that matters in the world"
"113","Charlie Brown",22,"All the boys, all the girls"
"114","Charlie Brown",23,"All the madness that occurs"
"115","Charlie Brown",24,"All the highs, all the lows"
"116","Charlie Brown",25,"As the room a-spinning goes"
"117","Charlie Brown",26,"We'll run riot"
"118","Charlie Brown",27,"We'll be glowing in the dark"
"119","Charlie Brown",28,"Oooo-ooo-ooo"
"120","Charlie Brown",29,"So we'll soar"
"121","Charlie Brown",30,"Luminous and wired"
"122","Charlie Brown",31,"We'll be glowing in the dark"
"123","Us Against the World",1,"Oh, morning come bursting the clouds, amen"
"124","Us Against the World",2,"Lift off this blindfold, let me see again"
"125","Us Against the World",3,"Bring back the water, let your ships roll in"
"126","Us Against the World",4,"In my heart, she left a hole"
"127","Us Against the World",5,"The tightrope that I'm walking just sways and ties"
"128","Us Against the World",6,"The devil as he's talking with those angel's eyes"
"129","Us Against the World",7,"And I just want to be there when the lightning strikes"
"130","Us Against the World",8,"And the saints go marching in"
"131","Us Against the World",9,"And sing"
"132","Us Against the World",10,"Slow it down"
"133","Us Against the World",11,"Through chaos as it swirls"
"134","Us Against the World",12,"It's us against the world"
"135","Us Against the World",13,"Like a river to a raindrop, I lost a friend"
"136","Us Against the World",14,"My drunken hazard Daniel in a lion's den"
"137","Us Against the World",15,"And tonight, I know it all has to begin again"
"138","Us Against the World",16,"So whatever you do, don't let go"
"139","Us Against the World",17,"And if we could float away"
"140","Us Against the World",18,"Fly up to the surface and just start again"
"141","Us Against the World",19,"Lift off before trouble just erodes us in the rain"
"142","Us Against the World",20,"Just erodes us in the rain"
"143","Us Against the World",21,"Just erodes us and see roses in the rain, saying"
"144","Us Against the World",22,"Slow it down"
"145","Us Against the World",23,"Slow it down"
"146","Us Against the World",24,"Through chaos as it swirls"
"147","Us Against the World",25,"It's us against the world"
"148","Us Against the World",26,"Through chaos as it swirls"
"149","Us Against the World",27,"It's us against the world"
"150","M.M.I.X.",1,NA
"151","Every Teardrop Is a Waterfall",1,"I turn the music up, I got my records on"
"152","Every Teardrop Is a Waterfall",2,"I shut the world outside until the lights come on"
"153","Every Teardrop Is a Waterfall",3,"Maybe the streets alight, maybe the trees are gone"
"154","Every Teardrop Is a Waterfall",4,"I feel my heart start beating to my favorite song"
"155","Every Teardrop Is a Waterfall",5,"And all the kids they dance, all the kids all night"
"156","Every Teardrop Is a Waterfall",6,"Until Monday morning feels another life"
"157","Every Teardrop Is a Waterfall",7,"I turn the music up, I'm on a roll this time"
"158","Every Teardrop Is a Waterfall",8,"And heaven is in sight"
