"","track_title","line","lyric"
"1","Trouble",1,"Oh no, I see"
"2","Trouble",2,"A spider web is tangled up with me"
"3","Trouble",3,"And I lost my head"
"4","Trouble",4,"And thought of all the stupid things I'd said"
"5","Trouble",5,"Oh no, what's this?"
"6","Trouble",6,"A spider web, and I'm caught in the middle"
"7","Trouble",7,"So I turned to run"
"8","Trouble",8,"And thought of all the stupid things I'd done"
"9","Trouble",9,"And I, I never meant to cause you trouble"
"10","Trouble",10,"And I, I never meant to do you wrong"
"11","Trouble",11,"And I, well, if I ever caused you trouble"
"12","Trouble",12,"And oh no, I never meant to do you harm"
"13","Trouble",13,"Oh no, I see"
"14","Trouble",14,"A spider web, and it's me in the middle"
"15","Trouble",15,"So I twist and turn"
"16","Trouble",16,"But here am I in my little bubble"
"17","Trouble",17,"Singing out, I never meant to cause you trouble"
"18","Trouble",18,"I never meant to do you wrong"
"19","Trouble",19,"And I, well, if I ever caused you trouble"
"20","Trouble",20,"Oh no, I never meant to do you harm"
"21","Trouble",21,"They spun a web for me"
"22","Trouble",22,"They spun a web for me"
"23","Trouble",23,"They spun a web for me"
"24","Yellow",1,"Look at the stars"
"25","Yellow",2,"Look how they shine for you"
"26","Yellow",3,"And everything you do"
"27","Yellow",4,"Yeah, they were all yellow"
"28","Yellow",5,"I came along"
"29","Yellow",6,"I wrote a song for you"
"30","Yellow",7,"And all the things you do"
"31","Yellow",8,"And it was called ""Yellow""So then I took my turn"
"32","Yellow",9,"Oh, what a thing to have done"
"33","Yellow",10,"And it was all yellow"
"34","Yellow",11,"(Aah) Your skin, oh yeah, your skin and bones"
"35","Yellow",12,"(Ooh) Turn into something beautiful"
"36","Yellow",13,"(Aah) You know, you know I love you so"
"37","Yellow",14,"You know I love you so"
"38","Yellow",15,"I swam across"
"39","Yellow",16,"I jumped across for you"
"40","Yellow",17,"Oh, what a thing to do"
"41","Yellow",18,"'Cause you were all yellow"
"42","Yellow",19,"I drew a line"
"43","Yellow",20,"I drew a line for you"
"44","Yellow",21,"Oh, what a thing to do"
"45","Yellow",22,"And it was all yellow"
"46","Yellow",23,"(Aah) Your skin, oh yeah, your skin and bones"
"47","Yellow",24,"(Ooh) Turn into something beautiful"
"48","Yellow",25,"(Aah) And you know"
"49","Yellow",26,"For you, I'd bleed myself dry"
"50","Yellow",27,"For you, I'd bleed myself dry"
"51","Yellow",28,"It's true, look how they shine for you"
"52","Yellow",29,"Look how they shine for you"
"53","Yellow",30,"Look how they shine for"
"54","Yellow",31,"Look how they shine for you"
"55","Yellow",32,"Look how they shine for you"
"56","Yellow",33,"Look how they shine"
"57","Yellow",34,"Look at the stars"
"58","Yellow",35,"Look how they shine for you"
"59","Yellow",36,"And all the things that you do"
"60","Parachutes",1,"In a haze, a stormy haze"
"61","Parachutes",2,"I'll be round, I'll be loving you always"
"62","Parachutes",3,"Always"
"63","Parachutes",4,"Here I am and I'll take my time"
"64","Parachutes",5,"Here I am and I'll wait in line always"
"65","Parachutes",6,"Always"
"66","We Never Change",1,"I wanna live life and never be cruel"
"67","We Never Change",2,"I wanna live life and be good to you"
"68","We Never Change",3,"And I wanna fly and never come down"
"69","We Never Change",4,"And live my life and have friends around"
"70","We Never Change",5,"We never change, do we? no, no"
"71","We Never Change",6,"We never learn, do we?"
"72","We Never Change",7,"So I wanna live in a wooden house"
"73","We Never Change",8,"I wanna live life and always be true"
"74","We Never Change",9,"I wanna live life and be good to you"
"75","We Never Change",10,"And I wanna fly and never come down"
"76","We Never Change",11,"And live my life and have friends around"
"77","We Never Change",12,"We never change, do we? No, no"
"78","We Never Change",13,"We never learn, do we?"
"79","We Never Change",14,"So I wanna live in a wooden house"
"80","We Never Change",15,"Where making more friends would be easy"
"81","We Never Change",16,"Oh, and I don't have a soul to save"
"82","We Never Change",17,"Yes, and I sin every single day"
"83","We Never Change",18,"We never change, do we?"
"84","We Never Change",19,"We never learn, do we?"
"85","We Never Change",20,"So I wanna live in a wooden house"
"86","We Never Change",21,"Where making more friends would be easy"
"87","We Never Change",22,"I wanna live where the sun comes out"
"88","Don’t Panic",1,"Bones, sinking like stones"
"89","Don’t Panic",2,"All that we fought for"
"90","Don’t Panic",3,"Homes, places we've grown"
"91","Don’t Panic",4,"All of us are done for"
"92","Don’t Panic",5,"We live in a beautiful world"
"93","Don’t Panic",6,"Yeah, we do, yeah, we do"
"94","Don’t Panic",7,"We live in a beautiful world"
"95","Don’t Panic",8,"Bones, sinking like stones"
"96","Don’t Panic",9,"All that we fought for"
"97","Don’t Panic",10,"Homes, places we've grown"
"98","Don’t Panic",11,"All of us are done for"
"99","Don’t Panic",12,"And we live in a beautiful world"
"100","Don’t Panic",13,"Yeah, we do, yeah, we do"
"101","Don’t Panic",14,"We live in a beautiful world"
"102","Don’t Panic",15,NA
"103","Don’t Panic",16,"And we live in a beautiful world"
"104","Don’t Panic",17,"Yeah, we do, yeah, we do"
"105","Don’t Panic",18,"We live in a beautiful world"
"106","Don’t Panic",19,"Oh, all that I know"
"107","Don’t Panic",20,"There's nothing here to run from"
"108","Don’t Panic",21,"'Cause yeah, everybody here's got somebody to lean on"
"109","Shiver",1,"So I look in your direction"
"110","Shiver",2,"But you pay me no attention, do you?"
"111","Shiver",3,"I know you don't listen to me"
"112","Shiver",4,"'Cause you say you see straight through me, don't you?"
"113","Shiver",5,"But on and on"
"114","Shiver",6,"From the moment I wake, 'til the moment I sleep"
"115","Shiver",7,"I'll be there by your side, just you try and stop me"
"116","Shiver",8,"I'll be waiting in line, just to see if you care"
"117","Shiver",9,"Oh, did you want me to change?"
"118","Shiver",10,"Well, I'll change for good"
"119","Shiver",11,"And I want you to know"
"120","Shiver",12,"That you'll always get your way"
"121","Shiver",13,"I wanted to say—"
"122","Shiver",14,"Don't you shiver"
"123","Shiver",15,"Shiver"
"124","Shiver",16,"Sing it loud and clear"
"125","Shiver",17,"I'll always be waiting for you"
"126","Shiver",18,"So you know how much I need you"
"127","Shiver",19,"But you never even see me, do you?"
"128","Shiver",20,"And is this my final chance of getting you?"
"129","Shiver",21,"But on and on"
"130","Shiver",22,"From the moment I wake, 'til the moment I sleep"
"131","Shiver",23,"I'll be there by your side, just you try and stop me"
