"","track_title","line","lyric"
"1","In My Place",1,"In my place, in my place"
"2","In My Place",2,"Were lines that I couldn't change"
"3","In My Place",3,"I was lost, oh yeah"
"4","In My Place",4,"I was lost, I was lost"
"5","In My Place",5,"Crossed lines I shouldn't have crossed"
"6","In My Place",6,"I was lost, oh yeah"
"7","In My Place",7,"Yeah, how long must you wait for it?"
"8","In My Place",8,"Yeah, how long must you pay for it?"
"9","In My Place",9,"Yeah, how long must you wait for it?"
"10","In My Place",10,"For it"
"11","In My Place",11,"I was scared, I was scared"
"12","In My Place",12,"Tired and underprepared"
"13","In My Place",13,"But I wait for it"
"14","In My Place",14,"And if you go, if you go"
"15","In My Place",15,"And leave me down here on my own"
"16","In My Place",16,"Then I'll wait for you, yeah"
"17","In My Place",17,"Yeah, how long must you wait for it?"
"18","In My Place",18,"Yeah, how long must you pay for it?"
"19","In My Place",19,"Yeah, how long must you wait for it?"
"20","In My Place",20,"For it"
"21","In My Place",21,"Sing it please, please, please"
"22","In My Place",22,"Come back, come sing to me"
"23","In My Place",23,"To me, me"
"24","In My Place",24,"Come on and sing it out"
"25","In My Place",25,"Now, now"
"26","In My Place",26,"Come on and sing it out"
"27","In My Place",27,"To me, me"
"28","In My Place",28,"Come back, come sing it"
"29","In My Place",29,"In my place, in my place"
"30","In My Place",30,"Were lines that I couldn't change"
"31","In My Place",31,"I was lost, oh yeah"
"32","In My Place",32,"Oh, yeah"
"33","Clocks",1,"The lights go out and I can't be saved"
"34","Clocks",2,"Tides that I tried to swim against"
"35","Clocks",3,"Have brought me down upon my knees"
"36","Clocks",4,"Oh I beg, I beg and plead, singin'Come out of things unsaid"
"37","Clocks",5,"Shoot an apple off my head and a"
"38","Clocks",6,"Trouble that can't be named"
"39","Clocks",7,"A tiger's waiting to be tamed, singin'—"
"40","Clocks",8,"You are"
"41","Clocks",9,"You are"
"42","Clocks",10,"Confusion never stops"
"43","Clocks",11,"Closing walls and ticking clocks, gonna"
"44","Clocks",12,"Come back and take you home"
"45","Clocks",13,"I could not stop that you now know, singin'Come out upon my seas"
"46","Clocks",14,"Cursed missed opportunities, am IA part of the cure?"
"47","Clocks",15,"Or am I part of the disease? Singing—"
"48","Clocks",16,"You are"
"49","Clocks",17,"You are"
"50","Clocks",18,"You are"
"51","Clocks",19,"You are"
"52","Clocks",20,"You are"
"53","Clocks",21,"You are"
"54","Clocks",22,"And nothing else compares"
"55","Clocks",23,"Oh nothing else compares"
"56","Clocks",24,"And nothing else compares"
"57","Clocks",25,"You are"
"58","Clocks",26,"You are"
"59","Clocks",27,"Home, home"
"60","Clocks",28,"Where I wanted to go"
"61","Clocks",29,"Home, home"
"62","Clocks",30,"Where I wanted to go"
"63","Clocks",31,"Home, (you) home"
"64","Clocks",32,"Where I wanted to (are) go"
"65","Clocks",33,"Home, home"
"66","Clocks",34,"Where I wanted to go"
"67","Amsterdam",1,"Come on, oh my star is fading"
"68","Amsterdam",2,"And I swerve out of control"
"69","Amsterdam",3,"If I, if I'd only waited"
"70","Amsterdam",4,"I'd not be stuck here in this hole"
"71","Amsterdam",5,"Come here, oh my star is fading"
"72","Amsterdam",6,"And I swerve out of control"
"73","Amsterdam",7,"And I swear I waited and waited"
"74","Amsterdam",8,"I've got to get out of this hole"
"75","Amsterdam",9,"But time is on your side"
"76","Amsterdam",10,"It's on your side now"
"77","Amsterdam",11,"Not pushing you down and all around"
"78","Amsterdam",12,"It's no cause for concern"
"79","Amsterdam",13,"Come on, oh my star is fading"
"80","Amsterdam",14,"And I see no chance of release"
"81","Amsterdam",15,"And I know I'm dead on the surface"
"82","Amsterdam",16,"But I am screaming underneath"
"83","Amsterdam",17,"And time is on your side"
"84","Amsterdam",18,"It's on your side now"
"85","Amsterdam",19,"Not pushing you down and all around"
"86","Amsterdam",20,"It's no cause for concern"
"87","Amsterdam",21,"Stuck on the end of this ball and chain"
"88","Amsterdam",22,"And I'm on my way back down again"
"89","Amsterdam",23,"Stood on a bridge, tied to a noose"
"90","Amsterdam",24,"Sick to the stomach"
"91","Amsterdam",25,"You can say what you mean"
"92","Amsterdam",26,"But it won't change a thing"
"93","Amsterdam",27,"I'm sick of the secrets"
"94","Amsterdam",28,"Stood on the edge"
"95","Amsterdam",29,"Tied to a noose"
"96","Amsterdam",30,"And you came along and you cut me loose"
"97","Amsterdam",31,"You came along"
"98","Amsterdam",32,"And you cut me loose"
"99","Amsterdam",33,"You came along"
"100","Amsterdam",34,"And you cut me loose"
"101","Politik",1,"Look at earth from outer space"
"102","Politik",2,"Everyone must find their place"
"103","Politik",3,"Give me time and give me space"
"104","Politik",4,"Give me real, don't give me fake"
"105","Politik",5,"Give me strength, reserve, control"
"106","Politik",6,"Give me heart and give me soul"
"107","Politik",7,"Give me time, give us a kiss"
"108","Politik",8,"Tell me your own politik"
"109","Politik",9,"Open up your eyes"
"110","Politik",10,"Open up your eyes"
"111","Politik",11,"Open up your eyes"
"112","Politik",12,"Open up your eyes"
"113","Politik",13,"Give me one, 'cause one is best"
"114","Politik",14,"And in confusion, confidence"
"115","Politik",15,"Give me peace of mind and trust"
"116","Politik",16,"And don't forget the rest of us"
"117","Politik",17,"Give me strength, reserve, control"
"118","Politik",18,"Give me heart and give me soul"
"119","Politik",19,"Wounds that heal and cracks that fix"
"120","Politik",20,"Tell me your own politik"
"121","Politik",21,"Open up your eyes"
"122","Politik",22,"Open up your eyes"
"123","Politik",23,"Open up your eyes"
"124","Politik",24,"Open up your eyes"
"125","Politik",25,"Just open up your eyes"
"126","Politik",26,"And give me love over, love over, love over this"
"127","Politik",27,"And give me love over, love over, love over this"
"128","Politik",28,"Aah-aah-aah"
"129","God Put a Smile Upon Your Face",1,"Where do we go, nobody knows"
"130","God Put a Smile Upon Your Face",2,"I've got to say I'm on my way down"
"131","God Put a Smile Upon Your Face",3,"God give me style and give me grace"
"132","God Put a Smile Upon Your Face",4,"God put a smile upon my face"
"133","God Put a Smile Upon Your Face",5,"Where do we go to draw the line"
"134","God Put a Smile Upon Your Face",6,"I've got to say I wasted all your time"
"135","God Put a Smile Upon Your Face",7,"Oh honey honey"
"136","God Put a Smile Upon Your Face",8,"Where do I go to fall from grace"
"137","God Put a Smile Upon Your Face",9,"God put a smile upon your face yeah"
"138","God Put a Smile Upon Your Face",10,"And ah, when you work it out I'm worse than you"
"139","God Put a Smile Upon Your Face",11,"Yeah, when you work it out I wanted to"
"140","God Put a Smile Upon Your Face",12,"And ah, when you work out where to draw the line"
"141","God Put a Smile Upon Your Face",13,"Your guess is as good as mine"
"142","God Put a Smile Upon Your Face",14,"Where do we go, nobody knows"
"143","God Put a Smile Upon Your Face",15,"Don't ever say you're on your way down when"
"144","God Put a Smile Upon Your Face",16,"God gave you style and gave you grace"
"145","God Put a Smile Upon Your Face",17,"And put a smile upon your face oh yeah"
"146","God Put a Smile Upon Your Face",18,"And ah, when you work it out I'm worse than you"
"147","God Put a Smile Upon Your Face",19,"Yeah, when you work it out I wanted to"
"148","God Put a Smile Upon Your Face",20,"And ah, when you work out where to draw the line"
"149","God Put a Smile Upon Your Face",21,"Your guess is as good as mine"
"150","God Put a Smile Upon Your Face",22,"It's as good as mine, it's as good as mine"
"151","God Put a Smile Upon Your Face",23,"It's as good as mine"
"152","God Put a Smile Upon Your Face",24,"Na na-na na-na num ma-na na-na"
"153","God Put a Smile Upon Your Face",25,"As good as mine, as good as mine (as good as mine)"
"154","God Put a Smile Upon Your Face",26,"As good as mine (as good as mine)"
"155","God Put a Smile Upon Your Face",27,"As good as mine (as good as mine)"
"156","God Put a Smile Upon Your Face",28,"Where do we go, nobody knows"
"157","God Put a Smile Upon Your Face",29,"Don't ever say you're on your way down when"
"158","God Put a Smile Upon Your Face",30,"God gave you style and gave you grace"
"159","God Put a Smile Upon Your Face",31,"And put a smile upon your face"
"160","The Scientist",1,"Come up to meet you, tell you I'm sorry"
"161","The Scientist",2,"You don't know how lovely you are"
"162","The Scientist",3,"I had to find you, tell you I need you"
"163","The Scientist",4,"Tell you I set you apart"
"164","The Scientist",5,"Tell me your secrets, and ask me your questions"
"165","The Scientist",6,"Oh, let's go back to the start"
"166","The Scientist",7,"Running in circles, coming up tails"
"167","The Scientist",8,"Heads on a science apart"
"168","The Scientist",9,"Nobody said it was easy"
"169","The Scientist",10,"It's such a shame for us to part"
"170","The Scientist",11,"Nobody said it was easy"
"171","The Scientist",12,"No one ever said it would be this hard"
"172","The Scientist",13,"Oh, take me back to the start"
"173","The Scientist",14,"I was just guessing at numbers and figures"
"174","The Scientist",15,"Pulling the puzzles apart"
"175","The Scientist",16,"Questions of science, science and progress"
"176","The Scientist",17,"Do not speak as loud as my heart"
"177","The Scientist",18,"Tell me you love me, come back and haunt me"
"178","The Scientist",19,"Oh, and I rush to the start"
"179","The Scientist",20,"Running in circles, chasing our tails"
"180","The Scientist",21,"Coming back as we are"
"181","The Scientist",22,"Nobody said it was easy"
"182","The Scientist",23,"Oh it's such a shame for us to part"
"183","The Scientist",24,"Nobody said it was easy"
"184","The Scientist",25,"No one ever said it would be so hard"
"185","The Scientist",26,"I'm going back to the start"
"186","The Scientist",27,"Oh-ooh ooh-ooh-ooh-ooh"
"187","The Scientist",28,"Aah-ooh ooh-ooh-ooh-ooh"
"188","The Scientist",29,"Oh-ooh ooh-ooh-ooh-ooh"
"189","The Scientist",30,"Oh-ooh ooh-ooh-ooh-ooh"
"190","Daylight",1,"To my surprise, and my delight"
"191","Daylight",2,"I saw sunrise, I saw sunlight"
"192","Daylight",3,"I am nothing in the dark"
"193","Daylight",4,"And the clouds burst to show daylight"
"194","Daylight",5,"Ooh, and the sun will shine"
"195","Daylight",6,"Yeah, on this heart of mine"
"196","Daylight",7,"Ooh, and I realize"
"197","Daylight",8,"Who cannot live without"
"198","Daylight",9,"Who come apart without"
"199","Daylight",10,"It"
"200","Daylight",11,"On a hilltop, on a sky-rise"
"201","Daylight",12,"Like a firstborn child"
"202","Daylight",13,"On a full day, and a full flight"
"203","Daylight",14,"Defeat darkness, breaking daylight"
"204","Daylight",15,"Ooh, and the sun will shine"
"205","Daylight",16,"Yeah, on this heart of mine"
"206","Daylight",17,"Ooh, and I realize"
"207","Daylight",18,"Who cannot live without"
