"","track_title","line","lyric"
"1","Life in Technicolor",1,NA
"2","Yes",1,"When it started we had high hopes"
"3","Yes",2,"Now my back's on the line"
"4","Yes",3,"My back's on the ropes"
"5","Yes",4,"When it started we were alright"
"6","Yes",5,"But night makes a fool"
"7","Yes",6,"Of us in the daylight"
"8","Yes",7,"Then we were dying of frustration"
"9","Yes",8,"Saying ""Lord lead me not into temptation"""
"10","Yes",9,"But it's not easy when she turns you on"
"11","Yes",10,"Sin, stay gone"
"12","Yes",11,"If you'd only, if you'd only say yes"
"13","Yes",12,"Whether you will's anybody's guess"
"14","Yes",13,"God, only God knows I'm trying my best"
"15","Yes",14,"But I'm just so tired of this loneliness"
"16","Yes",15,"(Hey!)"
"17","Yes",16,"So up they picked me by the big toe"
"18","Yes",17,"I was held from the rooftop then they let go"
"19","Yes",18,"Dizzily screaming ""Let the windows down!"""
"20","Yes",19,"As I crawl to the ground"
"21","Yes",20,"If you'd only if you'd only say yes"
"22","Yes",21,"Whether you will's anybody's guess"
"23","Yes",22,"God, only God knows she won't let me rest"
"24","Yes",23,"But I'm just so tired of this loneliness"
"25","Yes",24,"I've become so tired of this loneliness"
"26","Violet Hill",1,"It was a long and dark December"
"27","Violet Hill",2,"From the rooftops I remember"
"28","Violet Hill",3,"There was snow, white snow"
"29","Violet Hill",4,"Clearly I remember"
"30","Violet Hill",5,"From the windows they were watching"
"31","Violet Hill",6,"While we froze down below"
"32","Violet Hill",7,"When the future's architectured"
"33","Violet Hill",8,"By a carnival of idiots on show"
"34","Violet Hill",9,"You'd better lie low"
"35","Violet Hill",10,"If you love me, won't you let me know?"
"36","Violet Hill",11,"Was a long and dark December"
"37","Violet Hill",12,"When the banks became cathedrals"
"38","Violet Hill",13,"And a fox became God"
"39","Violet Hill",14,"Priests clutched onto bibles"
"40","Violet Hill",15,"Hollowed out to fit their rifles"
"41","Violet Hill",16,"And a cross was held aloft"
"42","Violet Hill",17,"Bury me in armor"
"43","Violet Hill",18,"When I'm dead and hit the ground"
"44","Violet Hill",19,"My nerves are poles that unfroze"
"45","Violet Hill",20,"And if you love me, won't you let me know?"
"46","Violet Hill",21,"I don't want to be a soldier"
"47","Violet Hill",22,"Who the captain of some sinking ship"
"48","Violet Hill",23,"Would stow, far below"
"49","Violet Hill",24,"So if you love me, why'd you let me go?"
"50","Violet Hill",25,"I took my love down to Violet Hill"
"51","Violet Hill",26,"There we sat in snow"
"52","Violet Hill",27,"All that time she was silent still"
"53","Violet Hill",28,"So if you love me, won't you let me know?"
"54","Violet Hill",29,"If you love me, won't you let me know?"
"55","Strawberry Swing",1,"They were sitting"
"56","Strawberry Swing",2,"They were sitting on the strawberry swing"
"57","Strawberry Swing",3,"Every moment was so precious"
"58","Strawberry Swing",4,"They were sitting"
"59","Strawberry Swing",5,"They were talking on the strawberry swing"
"60","Strawberry Swing",6,"Everybody was for fighting"
"61","Strawberry Swing",7,"Wouldn't wanna waste a thing"
"62","Strawberry Swing",8,"Cold, cold water"
"63","Strawberry Swing",9,"Bring me 'round"
"64","Strawberry Swing",10,"Now my feet won't touch the ground"
"65","Strawberry Swing",11,"Cold, cold water"
"66","Strawberry Swing",12,"What ya say?"
"67","Strawberry Swing",13,"When it's such"
"68","Strawberry Swing",14,"It's such a perfect day"
"69","Strawberry Swing",15,"It's such a perfect day"
"70","Strawberry Swing",16,"I remember"
"71","Strawberry Swing",17,"We were walking up to strawberry swing"
"72","Strawberry Swing",18,"I can't wait 'til the morning"
"73","Strawberry Swing",19,"Wouldn't wanna change a thing"
"74","Strawberry Swing",20,"People moving all the time"
"75","Strawberry Swing",21,"Inside a perfectly straight line"
"76","Strawberry Swing",22,"Don't you wanna just curve away"
"77","Strawberry Swing",23,"When it's such"
"78","Strawberry Swing",24,"It's such a perfect day"
"79","Strawberry Swing",25,"It's such a perfect day"
"80","Strawberry Swing",26,"Ah"
"81","Strawberry Swing",27,"Now the sky could be blue"
"82","Strawberry Swing",28,"I don't mind"
"83","Strawberry Swing",29,"Without you it's a waste of time"
"84","Strawberry Swing",30,"Could be blue"
"85","Strawberry Swing",31,"I don't mind"
"86","Strawberry Swing",32,"Without you it's a waste of time"
"87","Strawberry Swing",33,"Well the sky could be blue"
"88","Strawberry Swing",34,"Could be grey"
