"","track_title","line","lyric"
"1","Square One",1,"You're in control, is there anywhere you wanna go?"
"2","Square One",2,"You're in control, is there anything you wanna know?"
"3","Square One",3,"The future's for discovering"
"4","Square One",4,"The space in which we're traveling"
"5","Square One",5,"From the top of the first page"
"6","Square One",6,"To the end of the last day"
"7","Square One",7,"From the start in your own way"
"8","Square One",8,"You just want..."
"9","Square One",9,"Somebody listening to what you say"
"10","Square One",10,"It doesn't matter who you are"
"11","Square One",11,"Under the surface trying to break through"
"12","Square One",12,"Deciphering the codes in you"
"13","Square One",13,"I need a compass, draw me a map"
"14","Square One",14,"I'm on the top I can't get back"
"15","Square One",15,"Whoah, woah"
"16","Square One",16,"First line of the first page"
"17","Square One",17,"To the end of the last day"
"18","Square One",18,"You were looking"
"19","Square One",19,"From the start in your own way"
"20","Square One",20,"You just want..."
"21","Square One",21,"Somebody listening to what you say"
"22","Square One",22,"It doesn't matter who you are"
"23","Square One",23,"It doesn't matter who you are"
"24","Square One",24,"Oooh"
"25","Square One",25,"You just want somebody listening to what you say"
"26","Square One",26,"You just want somebody listening to what you say"
"27","Square One",27,"It doesn't matter who you are"
"28","Square One",28,"It doesn't matter who you are"
"29","Square One",29,"Is there anybody out there who is lost and hurt and lonely too?"
"30","Square One",30,"Are they bleeding all your colours into one?"
"31","Square One",31,"And if you come undone as if you'd been run through"
"32","Square One",32,"Some catapult it fired you"
"33","Square One",33,"You wonder if your chance will ever come"
"34","Square One",34,"Well, if you're stuck in square one"
"35","What If",1,"What if there was no light?"
"36","What If",2,"Nothing wrong, nothing right?"
"37","What If",3,"What if there was no time?"
"38","What If",4,"And no reason or rhyme?"
"39","What If",5,"What if you should decide"
"40","What If",6,"That you don't want me there by your side?"
"41","What If",7,"That you don't want me there in your life?"
"42","What If",8,"What if I got it wrong?"
"43","What If",9,"And no poem or song"
"44","What If",10,"Could put right what I got wrong"
"45","What If",11,"Or make you feel I belong"
"46","What If",12,"What if you should decide"
"47","What If",13,"That you don't want me there by your side?"
"48","What If",14,"That you don't want me there in your life?"
"49","What If",15,"Oooooh, that's right"
"50","What If",16,"Let's take a breath, jump over the side"
"51","What If",17,"Oooooh, that's right"
"52","What If",18,"How can you know it if you don't even try?"
"53","What If",19,"Oooooh, that's right"
"54","What If",20,"Every step that you take"
"55","What If",21,"Could be your biggest mistake"
"56","What If",22,"It could bend or it could break"
"57","What If",23,"But that's the risk that you take"
"58","What If",24,"What if you should decide"
"59","What If",25,"That you don't want me there in your life?"
"60","What If",26,"That you don't want me there by your side?"
"61","What If",27,"Oooooh, that's right"
"62","What If",28,"Let's take a breath, jump over the side"
"63","What If",29,"Oooooh, that's right"
"64","What If",30,"How can you know it when you don't even try?"
"65","What If",31,"Oooooh, that's right"
"66","What If",32,"Oh, Oooooh, that's right"
"67","What If",33,"Let's take a breath, jump over the side"
"68","What If",34,"Oooooh, that's right"
"69","What If",35,"You know that darkness always turns into light"
"70","What If",36,"Oooooh, that's right"
"71","Talk",1,"Oh, brother I can't, I can't get through"
"72","Talk",2,"I've been trying hard to reach you 'cause I don't know what to do"
"73","Talk",3,"Oh, brother, I can't believe it's true"
"74","Talk",4,"I'm so scared about the future and I wanna talk to you"
"75","Talk",5,"Oh, I wanna talk to you"
"76","Talk",6,"You can take a picture of something you see"
"77","Talk",7,"In the future where will I be?"
"78","Talk",8,"You can climb a ladder up to the Sun"
"79","Talk",9,"Or write a song nobody has sung"
"80","Talk",10,"Or do something that's never been done"
"81","Talk",11,"Are you lost or incomplete?"
"82","Talk",12,"Do you feel like a puzzle, you can't find your missing piece?"
"83","Talk",13,"Tell me how do you feel"
"84","Talk",14,"Well, I feel like they're talking in a language I don't speak"
"85","Talk",15,"And they're talking it to me"
"86","Talk",16,"So you take a picture of something you see"
"87","Talk",17,"In the future where will I be?"
"88","Talk",18,"You can climb a ladder up to the Sun"
"89","Talk",19,"Or write a song nobody has sung"
"90","Talk",20,"Or do something that's never been done"
"91","Talk",21,"Or do something that's never been done"
"92","Talk",22,"So you don't know where you're going and you wanna talk?"
"93","Talk",23,"And you feel like you're going where you've been before?"
"94","Talk",24,"You tell anyone who'll listen, but you feel ignored?"
"95","Talk",25,"Nothing's really making any sense at all, let's talk"
"96","Talk",26,"Let's talk, let's talk, let's talk"
"97","X&Y",1,"Trying hard to speak"
"98","X&Y",2,"And fighting with my weak hand"
"99","X&Y",3,"Driven to distraction"
"100","X&Y",4,"It's all part of the plan"
"101","X&Y",5,"When something is broken"
"102","X&Y",6,"And you try to fix it"
"103","X&Y",7,"Trying to repair it"
"104","X&Y",8,"Anyway you can"
"105","X&Y",9,"I dive in at the deep end"
"106","X&Y",10,"You become my best friend"
"107","X&Y",11,"I wanna love you"
"108","X&Y",12,"But I don't know if I can"
"109","X&Y",13,"I know something is broken"
"110","X&Y",14,"And I'm trying to fix it"
"111","X&Y",15,"Trying to repair it"
"112","X&Y",16,"Anyway I can"
"113","X&Y",17,"Ooh ooh ooh ooh ooh ooh"
"114","X&Y",18,"You and me are floating on a tidal wave"
"115","X&Y",19,"Together"
"116","X&Y",20,"You and me are drifting into outer space"
"117","X&Y",21,"And singing"
"118","X&Y",22,"Ooh ooh ooh ooh ooh ooh"
"119","X&Y",23,"You and me are floating on a tidal wave"
"120","X&Y",24,"Together"
"121","X&Y",25,"You and me are drifting into outer space"
"122","X&Y",26,"You and me are floating on a tidal wave"
"123","X&Y",27,"Together"
"124","X&Y",28,"You and me are drifting into outer space"
"125","X&Y",29,"And singing"
"126","X&Y",30,"Ooh ooh ooh ooh ooh ooh"
"127","Low",1,"You see the world in black and white"
"128","Low",2,"No color or light"
"129","Low",3,"You think you'll never get it right"
"130","Low",4,"But you're wrong, you might"
"131","Low",5,"The sky could fall, could fall on me"
"132","Low",6,"The parting of the seas"
"133","Low",7,"But you mean more, mean more to me"
"134","Low",8,"Than any color I can see"
"135","Low",9,"All you ever wanted was love"
"136","Low",10,"But you never looked hard enough"
"137","Low",11,"It's never gonna give itself up"
"138","Low",12,"All you ever wanted to be"
"139","Low",13,"Living in perfect symmetry"
"140","Low",14,"Nothing is as down or up as us"
"141","Low",15,"As us"
"142","Low",16,"You see the world in black and white"
"143","Low",17,"Not painted right"
"144","Low",18,"You see no meaning to your life"
"145","Low",19,"You should try"
"146","Low",20,"You should try"
"147","Low",21,"All you ever wanted was love"
"148","Low",22,"But you never looked hard enough"
"149","Low",23,"It's never gonna give itself up"
"150","Low",24,"All you ever wanted to be"
"151","Low",25,"Living in perfect symmetry"
"152","Low",26,"Nothing is as down or up as us"
"153","Low",27,"And don't you wanna see it come soon"
"154","Low",28,"Floating in a big white balloon"
"155","Low",29,"Or given on your own silver spoon"
"156","Low",30,"Don't you wanna see it come down"
"157","Low",31,"There for throwing your arms around"
"158","Low",32,"And say ""you're not a moment too soon"""
"159","Low",33,"Cause I feel low"
"160","Low",34,"Cause I feel low"
"161","Low",35,"Oh oh oh oh oh"
"162","Low",36,"Yeah I feel low"
"163","Low",37,"Oh no, oh"
"164","Low",38,"Oh cause I feel low"
"165","Low",39,"Cause I feel Low"
"166","Low",40,"Oh oh oh oh oh"
"167","Low",41,"But I feel low"
"168","Low",42,"Oh no, oh"
"169","White Shadows",1,"When I was a young boy I tried to listen"
"170","White Shadows",2,"And I wanna feel like that"
"171","White Shadows",3,"Little white shadows"
"172","White Shadows",4,"Blink and miss them"
"173","White Shadows",5,"Part of a system, I am"
"174","White Shadows",6,"If you ever feel like something's missing"
"175","White Shadows",7,"Things you'll never understand"
"176","White Shadows",8,"Little white shadows"
"177","White Shadows",9,"Sparkle and glisten"
"178","White Shadows",10,"Part of a system, a plan"
"179","White Shadows",11,"All this noise, I'm waking up"
"180","White Shadows",12,"All this space, I'm taking up"
"181","White Shadows",13,"All this sound is breaking up"
"182","White Shadows",14,"Ohhhhhhhh"
"183","White Shadows",15,"Maybe you'll get what you wanted"
"184","White Shadows",16,"Maybe you'll stumble upon it"
"185","White Shadows",17,"Everything you ever wanted"
"186","White Shadows",18,"In a permanent state"
"187","White Shadows",19,"Maybe you'll know when you see it"
"188","White Shadows",20,"Maybe if you say it, you'll mean it"
"189","White Shadows",21,"And when you find it you'll keep it"
"190","White Shadows",22,"In a permanent state, a permanent state"
"191","White Shadows",23,"When I was a young boy I tried to listen"
"192","White Shadows",24,"Don't you wanna feel like that?"
"193","White Shadows",25,"You're part of the human race"
"194","White Shadows",26,"All of the stars and the outer space"
"195","White Shadows",27,"Part of the system, a plan"
"196","White Shadows",28,"All this noise, I'm waking up"
"197","White Shadows",29,"All this space I'm taking up"
"198","White Shadows",30,"I cannot hear, you're breaking up"
"199","White Shadows",31,"Whooaaaaaaa"
"200","White Shadows",32,"Maybe you'll get what you wanted"
"201","White Shadows",33,"Maybe you'll stumble upon it"
"202","White Shadows",34,"Everything you ever wanted"
"203","White Shadows",35,"In a permanent state"
"204","White Shadows",36,"Maybe you'll know when you see it"
"205","White Shadows",37,"Maybe if you say it, you'll mean it"
"206","White Shadows",38,"And when you find it you'll keep it"
"207","White Shadows",39,"In a permanent state, a permanent state"
"208","White Shadows",40,"Swim out on a sea of faces"
"209","White Shadows",41,"Tide of the human races"
"210","White Shadows",42,"Oh, an answer now is what I need..."
"211","White Shadows",43,"See it in a new sun rising"
"212","White Shadows",44,"See it break on your horizon"
"213","White Shadows",45,"Oh, come on love, stay with me..."
"214","Fix You",1,"When you try your best, but you don't succeed"
"215","Fix You",2,"When you get what you want, but not what you need"
"216","Fix You",3,"When you feel so tired, but you can't sleep"
"217","Fix You",4,"Stuck in reverse"
"218","Fix You",5,"When the tears come streaming down your face"
"219","Fix You",6,"When you lose something you can't replace"
"220","Fix You",7,"When you love someone, but it goes to waste"
"221","Fix You",8,"Could it be worse?"
"222","Fix You",9,"Lights will guide you home"
"223","Fix You",10,"And ignite your bones"
"224","Fix You",11,"And I will try to fix you"
"225","Fix You",12,"And high up above or down below"
"226","Fix You",13,"When you're too in love to let it go"
"227","Fix You",14,"But if you never try, you'll never know"
"228","Fix You",15,"Just what you're worth"
"229","Fix You",16,"Lights will guide you home"
"230","Fix You",17,"And ignite your bones"
"231","Fix You",18,"And I will try to fix you"
"232","Fix You",19,NA
"233","Fix You",20,"Tears stream down your face"
"234","Fix You",21,"When you lose something you cannot replace"
"235","Fix You",22,"Tears stream down your face"
"236","Fix You",23,"And I"
"237","Fix You",24,"Tears stream down your face"
"238","Fix You",25,"I promise you I will learn from my mistakes"
"239","Fix You",26,"Tears stream down your face"
"240","Fix You",27,"And I"
"241","Fix You",28,"Lights will guide you home"
"242","Fix You",29,"And ignite your bones"
"243","Fix You",30,"And I will try to fix you"
"244","Speed of Sound",1,"How long before I get in?"
"245","Speed of Sound",2,"Before it starts, before I begin?"
"246","Speed of Sound",3,"How long before you decide?"
"247","Speed of Sound",4,"Before I know what it feels like?"
"248","Speed of Sound",5,"Where to, where do I go?"
"249","Speed of Sound",6,"If you never try, then you'll never know"
"250","Speed of Sound",7,"How long do I have to climb"
"251","Speed of Sound",8,"Up on the side of this mountain of mine?"
"252","Speed of Sound",9,"Look up, I look up at night"
"253","Speed of Sound",10,"Planets are moving at the speed of light"
"254","Speed of Sound",11,"Climb up, up in the trees"
"255","Speed of Sound",12,"Every chance that you get"
"256","Speed of Sound",13,"Is a chance you seize"
"257","Speed of Sound",14,"How long am I gonna stand"
"258","Speed of Sound",15,"With my head stuck under the sand?"
"259","Speed of Sound",16,"I'll start before I can stop"
"260","Speed of Sound",17,"Before I see things the right way up"
"261","Speed of Sound",18,"All that noise, and all that sound"
"262","Speed of Sound",19,"All those places I got found"
"263","Speed of Sound",20,"And birds go flying at the speed of sound"
"264","Speed of Sound",21,"To show you how it all began"
"265","Speed of Sound",22,"Birds came flying from the underground"
"266","Speed of Sound",23,"If you could see it then you'd understand"
"267","Speed of Sound",24,"Ideas that you'll never find"
"268","Speed of Sound",25,"All the inventors could never design"
"269","Speed of Sound",26,"The buildings that you put up"
"270","Speed of Sound",27,"Japan and China all lit up"
"271","Speed of Sound",28,"The sign that I couldn't read"
"272","Speed of Sound",29,"Or a light that I couldn't see"
"273","Speed of Sound",30,"Some things you have to believe"
"274","Speed of Sound",31,"But others are puzzles, puzzling me"
"275","Speed of Sound",32,"All that noise, and all that sound"
"276","Speed of Sound",33,"All those places I got found"
"277","Speed of Sound",34,"And birds go flying at the speed of sound"
"278","Speed of Sound",35,"To show you how it all began"
"279","Speed of Sound",36,"Birds came flying from the underground"
"280","Speed of Sound",37,"If you could see it then you'd understand"
"281","Speed of Sound",38,"Ah when you see it then you'll understand"
"282","Speed of Sound",39,"All those signs, I knew what they meant"
"283","Speed of Sound",40,"Some things you can invent"
"284","Speed of Sound",41,"Some get made, and some get sent"
"285","Speed of Sound",42,"Birds go flying at the speed of sound"
"286","Speed of Sound",43,"To show you how it all began"
"287","Speed of Sound",44,"Birds came flying from the underground"
"288","Speed of Sound",45,"If you could see it then you'd understand"
"289","Speed of Sound",46,"Ah, when you see it then you'll understand"
"290","A Message",1,"My song is love"
"291","A Message",2,"Love to the loveless shown"
"292","A Message",3,"And it goes on"
"293","A Message",4,"You don't have to be alone"
"294","A Message",5,"Your heavy heart"
"295","A Message",6,"Is made of stone"
"296","A Message",7,"And it's so hard to see you, clearly"
"297","A Message",8,"You don't have to be on your own"
"298","A Message",9,"You don't have to be on your own"
"299","A Message",10,"And I'm not gonna take it back"
"300","A Message",11,"And I'm not gonna say I don't mean that"
"301","A Message",12,"You're the target that I'm aiming at"
"302","A Message",13,"Can I get that message home?"
"303","A Message",14,"My song is love"
"304","A Message",15,"My song is love unknown"
"305","A Message",16,"But I'm on fire for you, clearly"
"306","A Message",17,"You don't have to be alone"
"307","A Message",18,"You don't have to be on your own"
"308","A Message",19,"And I'm not gonna take it back"
"309","A Message",20,"And I'm not gonna say I don't mean that"
"310","A Message",21,"You're the target that I'm aiming at"
"311","A Message",22,"And I'm nothing on my own"
"312","A Message",23,"Got to get that message home"
"313","A Message",24,"And I'm not gonna stand and wait"
"314","A Message",25,"I'm not gonna leave it until it's much too late"
"315","A Message",26,"On a platform, I'm gonna stand and say"
"316","A Message",27,"That I'm nothing on my own"
"317","A Message",28,"And I love you, please come home"
"318","A Message",29,"My song is love, is love unknown"
"319","A Message",30,"And I've got to get that message home"
"320","The Hardest Part",1,"And the hardest part"
"321","The Hardest Part",2,"Was letting go not taking part"
"322","The Hardest Part",3,"Was the hardest part"
"323","The Hardest Part",4,"And the strangest thing"
"324","The Hardest Part",5,"Was waiting for that bell to ring"
"325","The Hardest Part",6,"It was the strangest start"
"326","The Hardest Part",7,"I could feel it go down"
"327","The Hardest Part",8,"Bittersweet I could taste in my mouth"
"328","The Hardest Part",9,"Silver lining the clouds"
"329","The Hardest Part",10,"Oh and I..."
"330","The Hardest Part",11,"I wish that I could work it out"
"331","The Hardest Part",12,"And the hardest part"
"332","The Hardest Part",13,"Was letting go not taking part"
"333","The Hardest Part",14,"You really broke my heart, oh"
"334","The Hardest Part",15,"And I tried to sing"
"335","The Hardest Part",16,"But I couldn't think of anything"
"336","The Hardest Part",17,"And that was the hardest part, oh, oh"
"337","The Hardest Part",18,"I can feel it go down"
"338","The Hardest Part",19,"You left the sweetest taste in my mouth"
"339","The Hardest Part",20,"You're a silver lining the clouds"
"340","The Hardest Part",21,"Oh and I..."
"341","The Hardest Part",22,"Oh and I..."
"342","The Hardest Part",23,"I wonder what it's all about"
"343","The Hardest Part",24,"I wonder what it's all about"
"344","The Hardest Part",25,"Everything I know is wrong"
"345","The Hardest Part",26,"Everything I do, it just comes undone"
"346","The Hardest Part",27,"And everything is torn apart"
"347","The Hardest Part",28,"Oh and that's the hardest part"
"348","The Hardest Part",29,"That's the hardest part"
"349","The Hardest Part",30,"Yeah that's the hardest part"
"350","The Hardest Part",31,"That's the hardest part"
"351","Swallowed in the Sea",1,"You cut me down a tree"
"352","Swallowed in the Sea",2,"And brought it back to me"
"353","Swallowed in the Sea",3,"And that's what made me see"
"354","Swallowed in the Sea",4,"Where I was going wrong"
"355","Swallowed in the Sea",5,"You put me on a shelf"
"356","Swallowed in the Sea",6,"And kept me for yourself"
"357","Swallowed in the Sea",7,"I can only blame myself"
"358","Swallowed in the Sea",8,"You can only blame me"
"359","Swallowed in the Sea",9,"And I could write a song"
"360","Swallowed in the Sea",10,"A hundred miles long"
"361","Swallowed in the Sea",11,"Well, that's where I belong"
"362","Swallowed in the Sea",12,"And you belong with me"
"363","Swallowed in the Sea",13,"And I could write it down"
"364","Swallowed in the Sea",14,"Or spread it all around"
"365","Swallowed in the Sea",15,"Get lost, and then get found"
"366","Swallowed in the Sea",16,"Or swallowed in the sea"
"367","Swallowed in the Sea",17,"You put me on a line"
"368","Swallowed in the Sea",18,"And hung me out to dry"
"369","Swallowed in the Sea",19,"And darling, that's when I"
"370","Swallowed in the Sea",20,"Decided to go see"
"371","Swallowed in the Sea",21,"You cut me down to size"
"372","Swallowed in the Sea",22,"And opened up my eyes"
